30,2,0,1,2,1,0,0,4,0,1,2,3,5,3,0,0,1,1,4,0,1,0,0,4,4,-0.145000,1
33,3,0,1,2,1,1,0,4,1,1,1,3,5,2,1,0,1,1,4,0,1,1,6,5,0,0.865000,1
30,2,0,0,3,0,0,0,2,1,1,0,4,4,1,0,0,1,1,1,0,0,0,5,5,0,-0.072000,1
36,4,0,0,2,0,0,0,5,1,1,2,1,1,2,0,0,1,1,1,1,0,0,5,4,4,-0.370000,1
36,5,1,0,0,2,0,0,1,1,3,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,-0.704000,1
28,1,0,0,2,0,0,0,6,0,1,2,3,4,3,0,0,1,2,6,1,1,0,0,5,0,0.184000,1
29,3,0,0,2,1,0,0,3,0,3,1,0,1,2,0,0,1,3,1,2,0,0,0,0,4,-0.511000,1
41,3,0,1,2,1,0,0,5,2,0,0,2,0,3,1,0,1,0,2,1,1,0,5,5,0,-1.428000,1
26,1,1,0,2,2,0,0,3,0,1,2,5,6,7,0,0,1,0,5,1,0,1,4,4,0,-0.360000,1
37,5,0,0,1,1,0,0,5,1,1,2,1,0,1,0,1,1,3,1,2,0,1,4,0,0,-0.486000,1
29,2,1,0,2,2,0,0,2,0,0,2,1,3,2,0,0,1,2,0,0,1,0,4,4,4,-1.438000,1
41,5,1,0,1,2,0,0,3,0,1,2,0,0,1,0,0,1,0,2,1,0,1,4,4,4,-0.616000,1
34,4,0,0,1,0,0,0,2,0,0,2,1,1,1,0,0,0,1,1,1,0,1,0,0,0,-0.340000,1
31,2,0,0,0,1,0,0,1,2,2,3,2,4,3,0,0,0,1,2,0,1,0,4,4,4,0.246000,1
30,2,0,0,2,2,0,0,2,1,2,1,3,2,3,0,0,1,1,1,2,0,0,4,4,4,-1.812000,1
40,2,0,0,1,1,1,0,4,1,1,0,1,0,1,0,0,0,1,0,0,0,0,4,4,4,-0.056000,1
30,2,0,0,2,2,0,0,2,1,0,1,1,3,3,1,0,1,0,1,1,1,0,6,5,4,-0.779000,1
29,4,0,0,0,2,0,0,2,0,0,0,3,2,3,2,0,0,0,1,1,0,1,0,0,0,-0.866000,1
43,5,0,1,1,3,1,0,7,2,3,0,1,2,1,0,0,0,1,1,2,0,0,4,4,0,0.477000,1
25,3,1,0,1,3,0,0,1,0,1,0,1,4,5,1,1,1,1,2,0,0,0,0,0,0,-0.186000,1
26,3,1,1,1,2,0,0,3,0,1,2,0,2,7,0,0,1,2,4,0,0,0,0,0,0,-0.399000,1
29,4,0,0,1,1,0,0,3,0,2,0,3,3,3,0,0,1,0,2,2,0,0,4,0,4,-0.381000,1
26,3,0,0,2,1,0,0,3,0,2,0,3,3,3,0,0,1,0,2,2,0,1,4,4,4,-0.043000,1
25,3,0,0,2,2,0,0,2,0,2,2,2,4,4,0,0,1,1,3,0,0,0,4,0,5,-0.682000,1
39,5,0,0,1,1,0,0,5,1,2,1,0,0,1,0,0,0,1,0,2,0,1,0,0,4,-0.677000,1
37,3,0,1,1,1,0,0,4,4,1,3,0,0,1,0,0,0,0,1,2,1,0,4,0,4,-0.357000,1
32,1,0,0,2,3,0,1,1,0,1,1,1,2,6,0,0,1,1,0,1,0,0,5,0,5,0.036000,1
35,1,0,0,1,1,0,0,5,2,1,1,2,4,3,0,0,1,2,1,1,1,0,5,5,4,-0.673000,1
30,4,0,0,1,2,0,0,6,1,2,2,1,2,0,0,0,1,1,1,0,0,1,4,0,5,-0.233000,1
20,1,0,0,1,3,0,0,0,0,3,0,2,3,6,0,0,0,2,2,0,1,0,4,4,4,-0.082000,1
21,2,0,0,2,2,0,0,1,1,1,0,3,1,0,1,0,1,2,1,0,1,1,0,5,4,0.246000,1
30,1,0,0,2,1,0,0,0,1,4,1,3,2,0,0,0,1,0,1,3,1,0,6,6,0,-0.100000,1
37,4,0,0,2,2,0,0,4,1,2,2,2,2,2,1,0,1,0,1,1,0,0,5,4,4,-0.362000,1
29,4,0,0,1,2,0,0,1,0,1,2,1,1,6,1,0,0,0,2,1,0,0,0,0,0,0.313000,1
33,4,0,1,1,2,0,0,1,0,2,3,0,2,3,0,0,1,2,0,2,0,0,0,0,5,-0.163000,1
31,4,0,0,2,2,0,0,3,1,2,1,0,1,7,0,0,1,0,2,1,0,0,5,4,0,-0.178000,1
32,2,0,1,2,4,0,0,2,2,0,1,1,1,2,0,0,1,0,1,2,2,0,5,4,4,-0.246000,1
37,2,0,1,2,0,0,0,6,1,1,0,1,0,1,0,0,0,3,1,1,0,0,4,5,4,-0.697000,1
50,4,1,0,1,0,0,0,6,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,4,0,-0.120000,1
30,3,0,0,1,0,0,0,3,1,2,1,1,1,5,1,0,0,2,3,2,0,0,4,4,0,-1.611000,1
36,4,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,4,-0.614000,1
